HGNC	criteria
WFS1	'Age-related changes in gene expression, methylation or protein activity in humans'
WIF1	'Age-related changes in gene expression, methylation or protein activity'
WIPF1	'Age-related changes in gene expression, methylation or protein activity in humans'
WNK1	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT1	'Age-related changes in gene expression, methylation or protein activity'
WNT10A	'Age-related changes in gene expression, methylation or protein activity'
WNT10B	'Age-related changes in gene expression, methylation or protein activity'
WNT11	'Age-related changes in gene expression, methylation or protein activity'
WNT11	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT16	'Age-related changes in gene expression, methylation or protein activity'
WNT16	'Regulation of genes associated with aging'
WNT16	'Changes in gene activity protect against age-related impairment'
WNT2	'Age-related changes in gene expression, methylation or protein activity'
WNT2	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT2B	'Age-related changes in gene expression, methylation or protein activity'
WNT2B	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT3	'Age-related changes in gene expression, methylation or protein activity'
WNT3	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT3A	'Age-related changes in gene expression, methylation or protein activity'
WNT3A	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT3A	'Regulation of genes associated with aging'
WNT3A	'Changes in gene activity enhance age-related deterioration'
WNT4	'Age-related changes in gene expression, methylation or protein activity'
WNT4	'Regulation of genes associated with aging'
WNT5A	'Age-related changes in gene expression, methylation or protein activity'
WNT5A	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT5B	'Age-related changes in gene expression, methylation or protein activity'
WNT5B	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT6	'Age-related changes in gene expression, methylation or protein activity'
WNT6	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT7A	'Age-related changes in gene expression, methylation or protein activity'
WNT7B	'Age-related changes in gene expression, methylation or protein activity'
WNT7B	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT7B	'Regulation of genes associated with aging'
WNT7B	'Changes in gene activity protect against age-related impairment'
WNT9A	'Age-related changes in gene expression, methylation or protein activity'
WNT9B	'Age-related changes in gene expression, methylation or protein activity'
WNT9B	'Age-related changes in gene expression, methylation or protein activity in humans'
WNT9B	'Regulation of genes associated with aging'
WRN	'Association of genetic variants and gene expression levels with longevity'
WRN	'Association of the gene with accelerated aging in humans'
WRN	'Regulation of genes associated with aging'
WRN	'Age-related changes in gene expression, methylation or protein activity in humans'
WSB1	'Age-related changes in gene expression, methylation or protein activity in humans'
WWOX	'Age-related changes in gene expression, methylation or protein activity in humans'
XBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
XPA	'Changes in gene activity reduce non-mammalian lifespan'
XPA	'Changes in gene activity enhance age-related deterioration'
XPO7	'Age-related changes in gene expression, methylation or protein activity in humans'
XRCC1	'Association of genetic variants and gene expression levels with longevity'
XRCC2	'Age-related changes in gene expression, methylation or protein activity in humans'
XRCC5	'Regulation of genes associated with aging'
XRCC5	'Changes in gene activity reduce mammalian lifespan'
XRCC5	'Changes in gene activity enhance age-related deterioration'
XRCC6	'Age-related changes in gene expression, methylation or protein activity in humans'
XRCC6	'Changes in gene activity reduce mammalian lifespan'
XRCC6	'Changes in gene activity enhance age-related deterioration'
XRCC6	'Changes in gene activity extend non-mammalian lifespan'
YAP1	'Changes in gene activity extend non-mammalian lifespan'
YAP1	'Changes in gene activity protect against age-related impairment'
YAP1	'Changes in gene activity reduce non-mammalian lifespan'
YES1	'Age-related changes in gene expression, methylation or protein activity in humans'
YWHAB	'Age-related changes in gene expression, methylation or protein activity in humans'
YWHAE	'Age-related changes in gene expression, methylation or protein activity in humans'
YWHAZ	'Association of genetic variants and gene expression levels with longevity'
YWHAZ	'Age-related changes in gene expression, methylation or protein activity in humans'
YY1	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB1	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB18	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB25	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB43	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB44	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB8A	'Age-related changes in gene expression, methylation or protein activity in humans'
ZBTB8OS	'Age-related changes in gene expression, methylation or protein activity in humans'
ZC3H7A	'Age-related changes in gene expression, methylation or protein activity in humans'
ZC3HAV1	'Age-related changes in gene expression, methylation or protein activity'
ZC3HC1	'Association of genetic variants and gene expression levels with longevity'
